1;ok
2;lar
3;joking
4;wif
5;u
6;oni
7;free
8;entry
9;in
10;a
11;wkly
12;comp
13;to
14;win
15;fa
16;cup
17;final
18;tkts
19;21st
20;may
21;text
22;receive
23;questionstd
24;txt
25;ratetcs
26;apply
27;08452810075over18s
28;dun
29;say
30;so
31;early
32;hor
33;c
34;already
35;then
36;nah
37;i
38;dont
39;think
40;he
41;goes
42;usf
43;lives
44;around
45;here
46;though
47;freemsg
48;hey
49;there
50;darling
51;its
52;been
53;weeks
54;now
55;and
56;no
57;word
58;back
59;id
60;like
61;some
62;fun
63;you
64;up
65;for
66;it
67;still
68;tb
69;xxx
70;std
71;chgs
72;send
73;£150
74;rcv
75;even
76;my
77;brother
78;is
79;not
80;speak
81;with
82;me
83;they
84;treat
85;aids
86;patent
87;as
88;per
89;your
90;request
91;melle
92;oru
93;minnaminunginte
94;nurungu
95;vettam
96;has
97;set
98;callertune
99;all
100;callers
101;press
102;copy
103;friends
104;winner
105;valued
106;network
107;customer
108;have
109;selected
110;receivea
111;£900
112;prize
113;reward
114;claim
115;call
116;code
117;kl341
118;valid
119;hours
120;only
121;had
122;mobile
123;months
124;or
125;more
126;r
127;entitled
128;update
129;the
130;latest
131;colour
132;mobiles
133;camera
134;co
135;on
136;im
137;gonna
138;be
139;home
140;soon
141;want
142;talk
143;about
144;this
145;stuff
146;anymore
147;tonight
148;k
149;ive
150;cried
151;enough
152;today
153;six
154;chances
155;cash
156;from
157;pounds
158;csh11
159;cost
160;150pday
161;6days
162;tsandcs
163;reply
164;hl
165;info
166;urgent
167;won
168;week
169;membership
170;our
171;£100000
172;jackpot
173;tc
174;wwwdbuknet
175;lccltd
176;pobox
177;4403ldnw1a7rw18
178;searching
179;right
180;words
181;thank
182;breather
183;promise
184;wont
185;take
186;help
187;granted
188;will
189;fulfil
190;wonderful
191;blessing
192;at
193;times
194;date
195;sunday
196;xxxmobilemovieclub
197;use
198;credit
199;click
200;wap
201;link
202;next
203;message
204;httpwap
205;xxxmobilemovieclubcomnqjkgighjjgcbl
206;oh
207;kim
208;watching
209;eh
210;remember
211;how
212;spell
213;his
214;name
215;yes
216;did
217;v
218;naughty
219;make
220;until
221;wet
222;fine
223;if
224;thats
225;way
226;feel
227;gota
228;b
229;england
230;macedonia
231;miss
232;goalsteam
233;news
234;ur
235;national
236;team
237;eg
238;trywales
239;scotland
240;4txtú120
241;poboxox36504w45wq
242;that
243;seriously
244;i‘m
245;going
246;try
247;ha
248;ü
249;pay
250;first
251;when
252;da
253;stock
254;comin
255;aft
256;finish
257;lunch
258;go
259;str
260;down
261;lor
262;ard
263;smth
264;ffffffffff
265;alright
266;can
267;meet
268;sooner
269;just
270;forced
271;myself
272;eat
273;slice
274;really
275;hungry
276;tho
277;sucks
278;mark
279;getting
280;worried
281;knows
282;sick
283;turn
284;pizza
285;lol
286;always
287;convincing
288;catch
289;bus
290;are
291;frying
292;an
293;egg
294;tea
295;eating
296;moms
297;left
298;over
299;dinner
300;do
301;love
302;amp
303;were
304;packing
305;car
306;ill
307;let
308;know
309;theres
310;room
311;ahhh
312;work
313;vaguely
314;what
315;does
316;wait
317;thats
318;clear
319;sure
320;being
321;sarcastic
322;why
323;x
324;doesnt
325;live
326;us
327;yeah
328;got
329;was
330;apologetic
331;n
332;fallen
333;out
334;she
335;actin
336;spoilt
337;child
338;caught
339;till
340;but
341;we
342;doing
343;too
344;badly
345;cheers
346;tell
347;anything
348;fear
349;of
350;fainting
351;housework
352;quick
353;cuppa
354;thanks
355;subscription
356;ringtone
357;uk
358;charged
359;£5month
360;please
361;confirm
362;by
363;replying
364;yup
365;look
366;timings
367;msg
368;again
369;xuhui
370;learn
371;2nd
372;her
373;lesson
374;8am
375;oops
376;roommates
377;done
378;see
379;letter
380;decide
381;hello
382;hows
383;saturday
384;texting
385;youd
386;decided
387;tomo
388;trying
389;invite
390;pls
391;ahead
392;watts
393;wanted
394;great
395;weekend
396;abiola
397;forget
398;need
399;crave
400;most
401;sweet
402;arabian
403;steed
404;mmmmmm
405;yummy
406;rodger
407;burns
408;tried
409;re
410;sms
411;nokia
412;camcorder
413;delivery
414;tomorrow
415;who
416;seeing
417;hope
418;man
419;well
420;endowed
421;am
422;inches
423;callsmessagesmissed
424;calls
425;didnt
426;get
427;hep
428;immunisation
429;nigeria
430;fair
431;hopefully
432;tyler
433;cant
434;could
435;maybe
436;ask
437;bit
438;stubborn
439;hospital
440;kept
441;telling
442;weak
443;sucker
444;hospitals
445;suckers
446;thinked
447;time
448;saw
449;class
450;gram
451;usually
452;runs
453;half
454;eighth
455;smarter
456;gets
457;almost
458;whole
459;second
460;fyi
461;ride
462;morning
463;hes
