447	Sorry my battery died I can come by but Im only getting a gram for now wheres your place
2595	Tmr timin still da same wat cos i got lesson until 6
3972	Thats the trouble with classes that go well  youre due a dodgey one … Expecting mine tomo See you for recovery same time same place
3755	Ya that one is slow as poo
5030	Go chase after her and run her over while shes crossing the street
4793	Send me your resume
672	Ho ho  big belly laugh See ya tomo
2074	That is wondarfull song
4462	This is wishing you a great day Moji told me about your offer and as always i was speechless You offer so easily to go to great lengths on my behalf and its stunning My exam is next friday After that i will keep in touch more Sorry
2851	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now  08707509020 Just 20p per min NTT Ltd PO Box 1327 Croydon CR9 5WB 0870 is a national  rate call
2223	I notice you like looking in the shit mirror youre turning into a right freak
3293	Im not smoking while people use wylie smokes too much to justify ruining my shit
3908	Went fast asleep deartake care
4140	Good No don‘t need any receipts—well done … Yes please tell  What‘s her number i could ring her
827	Hmm  Bits and pieces lol  sighs 
1320	Ok
5257	I didnt get anything da
794	YWHERE U AT DOGBREATH ITS JUST SOUNDING LIKE JAN C THATS AL
1938	My planning usually stops at find hella weed smoke hella weed
15	I HAVE A DATE ON SUNDAY WITH WILL
721	Macha dont feel upseti can assume your mindsetbelieve me one evening with me and i have some wonderful plans for both of usLET LIFE BEGIN AGAINcall me anytime
1111	S sfirst timedhoni rocks
2455	How much she payed Suganya
5295	Urgent Please call 09061213237 from landline £5000 cash or a luxury 4 Canary Islands Holiday await collection TCs SAE PO Box 177 M227XY 150ppm 16
2869	Mum ive sent you many many messages since i got here I just want to know that you are actually getting them Do enjoy the rest of your day
1611	You all ready for  big day tomorrow
4427	Just now saw your messageit k da
4830	Lol no Just trying to make your day a little more interesting
2745	But my family not responding for anything Now am in room not went to home for diwali but no one called me and why not coming It makes me feel like died
2654	No need for the drug anymore
1846	Da is good good playerwhy he is unsold
4246	Aight Im chillin in a friends room so text me when youre on the way
2242	K Ill call you when Im close
2320	On the way to office da
5224	Jane babes not goin 2 wrk feel ill after lst nite Foned in already cover 4 me chuck
1425	Lol great now im getting hungry
3684	Hello hello hi lou sorry it took so long 2 reply I left mobile at friends in Lancaster just got it bak Neway im sorry I couldnt make ur bday 2 hun
5143	Yeah I imagine he would be really gentle Unlike the other docs who treat their patients like turkeys
1373	I though we shd go out n have some fun so bar in town or something – sound ok
3683	LOL what happens in Vegas stays in vegas
3690	Ill meet you in the lobby
1970	2 laptop I noe infra but too slow lar I wan fast one
833	Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roadsRVx
5021	Great How is the office today
520	That way transport is less problematic than on sat night By the way if u want to ask  n  to join my bday feel free But need to know definite nos as booking on fri
4924	Hi Dear Call me its urgnt I dont know whats your problem You dont want to work or if you have any other problem at least tell me Wating for your reply
5325	Thanks Ill keep that in mind
2880	Hey Boys Want hot XXX pics sent direct 2 ur phone Txt PORN to 69855 24Hrs free and then just 50p per day To stop text STOPBCM SF WC1N3XX
1242	Oh yes I can speak txt 2 u no Hmm Did u get  email
719	Book which lesson then you msg me I will call up after work or sth Im going to get specs My membership is PX3748
3075	Somebody should go to andros and steal ice
2301	Congrats 1 year special cinema pass for 2 is yours call 09061209465 now C Suprman V Matrix3 StarWars3 etc all 4 FREE bx420ip45we 150pm Dont miss out
782	Your opinion about me 1 Over 2 Jada 3 Kusruthi 4 Lovable 5 Silent 6 Spl character 7 Not matured 8 Stylish 9 Simple Pls reply
5528	I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
4723	Yup Anything lor if u dun wan its ok
1861	Whats up Do you want me to come online
771	Lol I know Theyre so dramatic Schools already closed for tomorrow Apparently we cant drive in the inch of snow were supposed to get
4220	Actually im waiting for 2 weeks when they start putting ad
2865	Ok that would b lovely if u r sure Think about wot u want to do drinkin dancin eatin cinema in out about Up to u Wot about 
1804	Ok lor thanx Ü in school
3182	There the size of elephant tablets  u shove um up ur ass
2028	Nah man my car is meant to be crammed full of people
4903	Taka lor Wat time u wan 2 come n look 4 us
3360	I dont run away frm u I walk slowly amp it kills me that u dont care enough to stop me
4023	We have to pick rayan macleran there
2256	Ok Me watching tv too
1482	Have you always been saying welp
1908	And stop being an old man You get to build snowman snow angels and snowball fights
4179	Ok lor then we go tog lor
4009	Im reaching home in 5 min
1453	Ya when are ü taking ure practical lessons I start in june
84	You will be in the place of that man
2677	Im sick  Im needy  I want you  pouts stomps feet Where are you  pouts stomps feet I want my slave  I want him now 
1563	Dnt worryuse ice pieces in a cloth packalso take 2 tablets
1573	Near kalainar tv officethenampet
5535	happened here while you were adventuring
1878	Watching tv now I got new job 
1255	Mum say we wan to go then go Then she can shun bian watch da glass exhibition
4811	Dont worry though I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me Brb gonna go kill myself
1555	Ok how you dear Did you call chechi
3225	Well that must be a pain to catch
3242	A cute thought for friendship Its not necessary to share every secret with ur close Frnd but watever u shared should be true
3010	Loan for any purpose £500  £75000 Homeowners  Tenants welcome Have you been previously refused We can still help Call Free 0800 1956669 or text back help
1968	Whats a feathery bowa Is that something guys have that I dont know about
2776	Dude u knw also teluguthts gudk gud nyt
2519	Sorry Ill call later
5571	Will ü b going to esplanade fr home
3967	Love you aathilove u lot
739	Hi Customer Loyalty OfferThe NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION Txt word START to No 81151  get yours Now 4TCtxt TC 150pMTmsg
461	Going thru a very different feelingwavering decisions and coping up with the same is the same individualtime will heal everything i believe
3669	Honey  Sweetheart  Darling  Sexy buns  Sugar plum  Loverboy  I miss you boytoy  smacks your ass Did you go to the gym too 
80	Its not the same here Still looking for a job How much do Tas earn there
3994	Dizzamn aight Ill ask my suitemates when I get back
5124	Oops I did have it   
2279	Hello How r u Im bored Inever thought id get bored with the tv but I am Tell me something exciting has happened there Anything 
4363	Dont Think About What u Have Got Think About How to Use It That You Have Got gooD ni8
966	Are you this much buzy
5034	Ok i vldo u know i got adsense approved
2523	Sorry Ill call later
5123	PRIVATE Your 2003 Account Statement for 078
1246	Now Im going out 4 dinner soon
2970	Mostly sports typelyk footblcrckt
2151	Waaaat Lololo ok next time then
40	Hello Hows you and how did saturday go I was just texting to see if youd decided to do anything tomo Not that im trying to invite myself or anything
1163	K I will sent it again
1711	U meet other fren dun wan meet me ah Muz b a guy rite
3646	 Thought I didnt see you
3703	Shall i get my pouch
2321	In which place do you want da
892	Why do you ask princess
2953	Hey now am free you can call me
5002	Well its not like you actually called someone a punto That woulda been worse
2126	Beautiful Truth against Gravity Read carefully Our heart feels light when someone is in it But it feels very heavy when someone leaves it GOOD NIGHT
5212	I know you are thinkin malaria But relax children cant handle malaria She would have been worse and its gastroenteritis If she takes enough to replace her loss her temp will reduce And if you give her malaria meds now she will just vomit Its a self limiting illness she has which means in a few days it will completely stop
4945	Check maili have mailed varma and kept copy to you regarding membershiptake careinsha allah
1046	We know someone who you know that fancies you Call 09058097218 to find out who POBox 6 LS15HB 150p
280	Just sent it So what type of food do you like
